date,phase,category,module,event,source
2026-05-09,8.x,fix,partners,Partners list contract_no derived from contracts table (ROW_NUMBER + COALESCE),snapshot 2026-05-09
2026-05-09,8.x,decision,warehouses,F4 Lubertsy = warehouse LBR confirmed one entity (INN 550412856773),snapshot 2026-05-09
2026-05-09,9.x,schema-migration,inbox,0027 Invoice Inbox foundation — invoice_inbox + payments.inbox_origin,migration 0027
2026-05-09,9.x,schema-migration,inbox,0028 invoice_inbox extended extraction fields,migration 0028
2026-05-09,9.x,milestone,inbox,First invoice processed end-to-end (Accuvat 2026/00659; DeepSeek service 0.95),BACKLOG.md
2026-05-12,3.x,schema-migration,documents,0029 documents.document_number partial unique index,migration 0029
2026-05-12,3.x,decision,documents,0030 language-model overhaul — document language decided seller-side,migration 0030
2026-05-12,3.x,feature,operations,0031 operations delivery/fulfilment status (third state dimension),migration 0031
2026-05-12,3.x,feature,documents,0032 add RFQ to documents.document_type CHECK + rfq sequence,migration 0032_documents_rfq_type
2026-05-12,3.x,feature,warehouses,0032 OTW on-the-way virtual warehouse + stock-state dimension,migration 0032_otw_and_stock_state
2026-05-12,5.x,feature,products,0033 products.ctn_volume_m3 (logistics volume),migration 0033
2026-05-14,x,schema-migration,operations,0034 service operations foundation,migration 0034
2026-05-14,x,fix,partners,0035 service-partners follow-up backfill,migration 0035
2026-05-14,x,fix,operations,0036 backfill operation_track for service partners,migration 0036
2026-05-14,x,fix,partners,0037 backfill partner subtype from kind,migration 0037
2026-05-14,x,feature,partners,0038 partners.acceptance_required flag,migration 0038
2026-05-15,x,feature,operations,0039 transfer batches — group F4-WH-R ops by (date marketplace) — Aram law,migration 0039
2026-05-15,9.x,integration,inbox,0040 invoice_inbox telegram source + 15-min cron + WATCHLIST bypass — Aram law,migration 0040
2026-05-20,7.x,feature,finance,0041 agent settlements — triangle settlement model,migration 0041
2026-05-20,7.x,feature,finance,0042 money audit views (v_money per-table),migration 0042
2026-05-20,x,schema-migration,operations,0043 operation_type CHECK widened to add service and tax,migration 0043
2026-06-02,x,schema-migration,planner,0044 Procurement Planner foundation + planner_runs history,migration 0044
2026-06-08,x,schema-migration,auth,0045 auth users + sessions; 3 users; PINs PBKDF2-SHA256,migration 0045
2026-06-08,x,feature,auth,0046 per-user permissions JSON as live source of truth,migration 0046
2026-06-08,7.x,schema-migration,banking,0047 recreate bank_statement_files,migration 0047
2026-06-08,x,integration,self-healing,0048 self-healing infrastructure — v_health watchdog auto-healer TG escalation,migration 0048
2026-06-08,7.x,feature,documents,0049 attachment lock signal (operation_attachments.sent_at; 409 on locked delete),migration 0049
2026-06-11,10.0,schema-migration,loyalty,0050 Loyalty Engine — Klub Ekspertov tiers; KIT ORDER_STATUS_CHANGED webhook,migration 0050
2026-06-11,10.1,schema-migration,loyalty,0051 Loyalty redemptions — personal KIT promo-codes DAS-XXXX-XX 48h TTL,migration 0051
2026-06-11,10.x,milestone,loyalty,Vision-Coding EXTEND registered — loyalty engine + Pages das-bonus bonus.dasexperten.ru,vision-coding
2026-06-12,10.x,decision,loyalty,RetailCRM exit — loyalty moved fully in-house,das-architektura 2026-06-12 note
2026-06-16,x,feature,activity,0052 user_activity append-only log feeding team dashboard,migration 0052
2026-06-16,x,feature,emailer,0053 email_rules (forward/delete),migration 0053
2026-06-16,x,feature,emailer,0054 email_tasks — Emailer reframed as TASKS command center + learning loop,migration 0054
2026-06-16,x,feature,emailer,0055 email_canon D1 hot cache (source of truth R2 + GitHub),migration 0055
2026-06-16,x,feature,emailer,0056 email_rules two-layer (sender x type),migration 0056
2026-06-16,x,feature,emailer,0057 email_classifications internal email_type tags (UI-invisible),migration 0057
2026-06-21,x,feature,reviews,Reviews page built (inline to GLM 5.2 to wired /api/reviews/drafts),git 414249b/62f4e5c/f7705de
2026-06-21,x,feature,reviews,4-tab Reviews and Questions UI (Ozon/WB reviews+questions) English,git e42e642/c4bb835
2026-06-21,x,integration,marketplaces,Marketplace feeds ingest Ozon reviews+questions and WB questions into D1 (/api/mp),git 96e27ea/82749f3
2026-06-21,x,integration,marketplaces,Cron auto-refresh marketplace feeds every 6h,git 4be022d
2026-06-22,x,integration,marketplaces,Ingest Ozon question answers (/v1/question/answer/list),git 220e26d
2026-06-22,x,feature,reviews,Hide rating-only reviews (no text) on WB and Ozon + visual polish,git 2dfeb05/42faede
2026-06-22,x,feature,web,das-kompanion chat panel responsive full-screen sheet <768px,git c184d38
2026-06-23,x,feature,web,Mobile list tables render as stacked cards <768px; Pulse home greeting,git b4c9763/dd577ad
2026-06-24,x,feature,warehouses,Stock Transfer between same-company warehouses (modal),git d006e66
2026-06-30,x,feature,warehouses,Bundling on Warehouses + backdating; ref BD<WAREHOUSE>-NNN per-warehouse counter,git 87e1226/f845ec2
2026-06-30,x,feature,operations,Operation lifecycle fixed-slot stage buttons SRV/DOC/PAY/SHP (StatusStages),git 010d2d2/c2eabc8
2026-06-30,x,integration,inbox,inbox-reconcile nightly three-way deal builder (account/act/payment to one deal),git 3b5e727
2026-06-30,x,fix,operations,Shipped-transition fix (removed destructive phantom-clear),git de5d040
2026-07-01,x,feature,reviews,Reply generation GPT-5.5 primary to DeepSeek to Claude OAuth fallback chain,git a6e0ecb/d7d5e3d
2026-07-01,x,fix,marketplaces,Marketplace unfreeze feeds + watchdog coverage,git 30fd3c7
2026-07-01,x,feature,products,Prices Resync button R2 pricelists to D1 product_prices + label rename,git 12958e2/1f6a0a7
2026-07-01,x,fix,web,Mobile audit begins — header title crush + Pulse HUD clip (PR #77-79),git fca099a/9b29418
2026-07-02,x,fix,web,Mobile full-page audit — zero horizontal overflow self-labelling cards (PR #76),git c906035
2026-07-02,x,perf,emailer,Emailer perf — small first page + KV-cache the inbox history,git 7f71aa9
